Clock frequency is approx. 2304.6 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	5402.5	4658.6	4211.3	3247.5	2808.6	2469.1	1945.1	1762.4	1644.3	1498.6	1448.9	1411.0	1323.1	1226.2	1233.6	1333.4	1157.4	1072.9	1099.9	1088.0	1031.2	1039.0	1023.2	1074.2	1071.4	1084.8	1066.4	1059.2	1088.5	1052.7	1081.5	998.8	1058.1	1052.2	1104.6	1066.9	1067.7	1036.2	1033.5	1036.8	1031.1	1044.3	1382.4	1075.0	1273.8	1463.2	1138.3	969.2	1146.2	1134.8	1243.7	1301.8	1247.7	1313.5	1436.3	1408.9	1442.0	1187.9	1390.9	1408.1	1547.4	1592.3	1509.3	977.4	
16m	5428.0	4868.4	4341.9	3697.6	3067.4	2453.7	2180.7	1944.7	1630.8	1672.6	1445.3	1440.3	1437.5	1565.5	1281.3	1330.6	1336.8	1303.5	1176.5	1260.2	1506.3	1434.2	1488.3	1869.4	1645.8	1856.7	2066.9	2016.6	2567.5	2192.0	2581.5	1130.3	2770.4	2861.8	3129.2	3172.8	2890.3	3125.7	3120.4	3216.1	2831.5	2831.6	2805.0	2837.8	3226.0	3214.4	3343.3	1456.9	3146.3	2996.1	2850.5	3078.3	3177.7	2846.5	2977.4	2894.1	2812.5	2834.8	2911.0	3005.3	2953.3	2955.2	2774.8	1226.5	
8m	5540.9	5037.6	4789.3	4289.7	3670.5	3361.0	2882.0	2432.3	2660.5	2515.4	2509.4	2737.2	2599.4	2921.8	2867.9	2133.5	3255.7	2959.7	3353.3	3370.8	3414.8	3371.2	3467.2	3446.5	3357.0	3699.8	3568.1	3501.3	3635.8	3338.9	3592.8	2203.3	3472.7	3586.1	3577.2	3666.1	3252.1	3672.7	3661.8	3703.4	3464.4	3192.6	3737.8	3707.1	3655.5	3733.0	3798.3	3757.0	3765.7	3473.0	3649.7	3169.9	3542.2	3372.6	2922.6	3478.5	3368.6	3069.5	3361.3	3288.8	3302.7	3213.3	3219.9	1991.3	
4m	5719.6	5931.2	5639.4	5980.1	5931.5	5963.5	5984.2	5984.7	5984.1	5981.4	5829.3	5763.6	4713.4	4493.3	4327.1	4599.7	5018.9	5034.5	5330.3	5317.2	5251.3	4723.3	5330.9	5277.9	5053.9	4958.8	4908.6	4921.0	5281.6	5019.2	5122.9	3644.1	5072.1	4895.6	5134.3	4417.5	5285.2	5260.8	5305.2	5268.4	5276.1	5256.6	5220.9	5264.2	5129.9	5312.8	5395.9	3518.5	5399.9	5270.8	5313.8	5288.0	4460.0	4479.5	5292.0	4454.4	5273.3	4390.8	4429.5	4412.1	4405.8	4408.6	4445.7	3501.3	
2m	5795.2	5987.1	5986.9	5986.4	5985.3	5980.2	5966.5	5919.7	5747.1	5931.6	5923.0	5771.4	5563.5	5417.6	5352.6	4618.9	5168.1	5024.2	4956.6	4900.1	4802.9	4662.4	4704.5	4580.1	5294.8	4605.2	4540.2	4419.3	5239.4	4439.3	4376.2	3678.2	4428.4	4982.0	5237.3	5344.8	4506.4	5378.3	4433.1	5371.4	4479.4	4514.8	4517.1	5612.1	4553.6	4537.3	4533.2	3719.2	4560.0	4564.2	4568.7	4547.9	4598.9	5865.1	4634.2	4725.4	4674.7	4676.5	5755.6	3750.0	5768.0	4781.8	4860.3	3622.6	
1024k	5987.1	5986.7	5729.1	5850.4	5983.6	5981.4	5966.4	4836.6	5973.6	5966.7	5952.5	5753.9	5570.4	5425.2	5343.0	4647.7	5068.0	4979.3	4898.9	3462.0	4755.1	5540.2	4743.0	4683.1	4643.1	4666.2	4684.4	4699.6	4699.8	5745.3	4611.5	3740.7	4686.3	5801.9	5921.4	5007.1	5936.2	5014.4	5114.8	5972.0	5960.7	5361.2	5333.8	5448.5	5482.9	5499.7	5576.5	3989.2	5678.9	5767.2	5692.2	5937.8	5803.7	5826.9	5888.1	5877.3	5891.5	5876.2	5911.8	5935.0	5870.4	5903.5	5928.5	3699.6	
512k	5726.9	5978.8	5982.3	5985.1	5976.7	5979.5	5980.1	5981.0	5980.0	5966.6	5941.8	5812.0	5775.6	5711.7	5632.1	4833.4	5464.7	4419.1	4418.0	4528.7	5886.7	4469.4	5945.3	4599.3	5946.0	4735.0	4719.5	4744.0	5951.7	4886.5	5957.7	3962.9	5202.2	5944.6	5360.3	5323.9	5466.0	5574.4	5570.0	5622.9	5547.6	5577.4	5738.9	5867.3	5717.3	5810.9	5650.0	5403.7	5921.4	5939.9	5931.7	5921.2	5939.8	5916.2	5927.5	5924.1	5931.0	5931.4	5911.8	5926.3	5926.3	5908.9	5915.7	4378.3	
256k	5987.3	5983.9	5989.1	5986.7	5984.4	5985.4	5978.4	5982.9	5976.3	5976.7	5976.1	5970.5	5960.7	5958.4	5914.1	5707.1	5934.6	5881.8	5903.5	5908.9	5892.7	5872.3	5923.6	5914.2	5913.7	5921.2	5900.6	5920.8	5904.5	5881.3	5894.6	5300.1	5893.5	5907.0	5906.6	5904.2	5893.7	5883.4	5880.4	5899.2	5879.2	5880.2	5878.1	5927.6	5893.0	5878.0	5874.2	5892.0	5886.9	5870.1	5893.3	5897.2	5869.4	5869.1	5861.1	5856.5	5875.2	5877.2	5864.4	5826.8	5838.9	5883.9	5840.1	5285.3	
128k	5984.4	5986.2	5984.7	5981.0	5972.0	5976.2	5966.7	5955.6	5965.5	5957.8	5943.5	5959.0	5936.3	5937.1	5947.3	5929.4	5934.6	5937.6	5914.1	5903.8	5923.8	5922.5	5899.1	5919.7	5881.5	5879.2	5906.3	5888.5	5910.6	5874.4	5862.7	5885.0	5889.0	5899.2	5893.7	5890.9	5898.0	5870.4	5848.5	5861.7	5873.6	5855.3	5853.6	5845.9	5835.6	5831.0	5841.1	5825.5	5835.7	5864.4	5841.0	5830.9	5815.5	5814.2	5817.6	5836.3	5809.5	5810.3	5751.1	5785.3	5796.5	5799.9	5733.9	5255.9	
64k	5959.3	5985.8	5972.0	5972.5	5943.8	5956.1	5927.3	5852.2	5826.3	5848.9	5782.8	5821.1	5711.6	5806.1	5720.9	5450.1	5776.4	5769.4	5759.8	5798.6	5743.0	5796.5	5800.1	5719.6	5741.7	5738.7	5790.1	5761.5	5758.9	5719.6	5651.8	5363.4	5675.7	5722.8	5691.5	5668.0	5652.9	5643.6	5627.5	5668.0	5648.3	5635.0	5664.8	5588.8	5668.0	5619.4	5558.1	5597.4	5581.9	5570.1	5608.7	5478.8	5436.0	5681.8	5511.6	5458.2	5563.0	5466.1	5351.6	5518.9	5500.3	5587.0	5422.5	5267.6	
